Age My	Age ky before 2015	δ18O	Tdo	Ts	T anomaly
3.921	3921.1	2.96	1.86	16.81	2.81
3.9216	3921.7	2.85	1.70	16.41	2.41
3.9224	3922.5	2.91	1.54	16.01	2.01
3.9232	3923.3	3.15	1.54	16	2
3.9244	3924.5	3.36	1.35	15.52	1.52
3.9252	3925.3	2.97	1.27	15.32	1.32
3.9262	3926.3	3.21	1.14	15	1
3.9272	3927.3	3.06	1.23	15.22	1.22
3.928	3928.1	3.39	1.21	15.18	1.18
3.9288	3928.9	3.19	1.38	15.61	1.61
3.9298	3929.9	3.00	1.29	15.37	1.37
3.9308	3930.9	2.89	1.41	15.68	1.68
3.9318	3931.9	3.24	1.52	15.94	1.94
3.933	3933.1	3.16	1.59	16.13	2.13
3.934	3934.1	2.99	1.48	15.85	1.85
3.9352	3935.3	2.86	1.64	16.25	2.25
3.9362	3936.3	3.10	1.86	16.81	2.81
3.9374	3937.5	2.94	1.85	16.78	2.78
3.9386	3938.7	2.74	1.92	16.96	2.96
3.9398	3939.9	3.01	2.12	17.45	3.45
3.9408	3940.9	2.73	2.31	17.93	3.93
3.942	3942.1	2.73	2.21	17.68	3.68
3.9428	3942.9	2.58	2.16	17.54	3.54
3.9434	3943.5	2.93	2.02	17.21	3.21
3.9442	3944.3	3.11	1.80	16.65	2.65
3.945	3945.1	2.98	1.56	16.05	2.05
3.9458	3945.9	3.15	1.54	16.01	2.01
3.9468	3946.9	3.03	1.55	16.02	2.02
3.948	3948.1	2.96	1.45	15.77	1.77
3.9492	3949.3	3.10	1.51	15.93	1.93
3.9502	3950.3	3.17	1.52	15.94	1.94
3.9512	3951.3	3.03	1.52	15.96	1.96
3.9522	3952.3	3.02	1.69	16.38	2.38
3.9534	3953.5	2.95	1.84	16.76	2.76
3.9542	3954.3	2.78	1.84	16.76	2.76
3.955	3955.1	2.89	1.92	16.94	2.94
3.9556	3955.7	3.03	1.83	16.72	2.72
3.9564	3956.5	2.88	1.70	16.41	2.41
3.957	3957.1	3.12	1.62	16.2	2.2
3.9578	3957.9	3.01	1.55	16.04	2.04
3.9588	3958.9	3.05	1.48	15.85	1.85
3.96	3960.1	3.15	1.46	15.81	1.81
3.9612	3961.3	3.02	1.46	15.8	1.8
3.9622	3962.3	3.15	1.41	15.68	1.68
3.9634	3963.5	3.02	1.29	15.38	1.38
3.9644	3964.5	3.14	1.28	15.36	1.36
3.9654	3965.5	3.37	1.25	15.26	1.26
3.9662	3966.3	3.04	1.17	15.08	1.08
3.9674	3967.5	3.22	1.09	14.88	0.880000000000001
3.9682	3968.3	3.16	1.23	15.22	1.22
3.9694	3969.5	3.29	1.15	15.04	1.04
3.9706	3970.7	3.11	1.26	15.3	1.3
3.9722	3972.3	3.18	1.27	15.32	1.32
3.9736	3973.7	3.02	1.28	15.34	1.34
3.975	3975.1	3.15	1.21	15.17	1.17
3.9766	3976.7	3.27	1.27	15.32	1.32
3.978	3978.1	3.24	1.20	15.16	1.16
3.9792	3979.3	3.07	1.08	14.85	0.85
3.9804	3980.5	3.14	1.05	14.78	0.779999999999999
3.9818	3981.9	3.38	1.06	14.8	0.800000000000001
3.9826	3982.7	3.32	1.02	14.69	0.69
3.984	3984.1	3.23	1.01	14.66	0.66
3.9852	3985.3	3.15	1.04	14.74	0.74
3.9862	3986.3	3.16	1.11	14.92	0.92
3.9874	3987.5	3.32	1.13	14.97	0.970000000000001
3.989	3989.1	3.19	1.00	14.65	0.65
3.99	3990.1	3.19	0.98	14.59	0.59
3.9912	3991.3	3.39	0.88	14.34	0.34
3.9928	3992.9	3.24	0.77	14.08	0.08
3.994	3994.1	3.66	0.74	14	0
3.9954	3995.5	3.55	0.74	14.01	0.01
3.997	3997.1	3.29	0.67	13.83	-0.17
3.9982	3998.3	3.38	0.77	14.09	0.09
3.9992	3999.3	3.49	0.81	14.17	0.17
4.0006	4000.7	3.31	0.92	14.44	0.44
4.0016	4001.7	3.44	0.94	14.51	0.51
4.0024	4002.5	2.91	1.00	14.65	0.65
4.0034	4003.5	3.29	1.05	14.77	0.77
4.0046	4004.7	3.30	1.08	14.85	0.85
4.0056	4005.7	3.22	0.98	14.6	0.6
4.0064	4006.5	3.38	0.99	14.64	0.640000000000001
4.0074	4007.5	3.13	1.07	14.82	0.82
4.0086	4008.7	3.24	1.14	15.01	1.01
4.0096	4009.7	3.15	1.26	15.3	1.3
4.0106	4010.7	3.08	1.37	15.58	1.58
4.0118	4011.9	3.16	1.42	15.7	1.7
4.0132	4013.3	2.92	1.59	16.13	2.13
4.0142	4014.3	3.15	1.57	16.08	2.08
4.0158	4015.9	2.83	1.57	16.06	2.06
4.0172	4017.3	3.12	1.47	15.82	1.82
4.0184	4018.5	3.17	1.47	15.82	1.82
4.0194	4019.5	3.10	1.37	15.58	1.58
4.0208	4020.9	3.15	1.37	15.58	1.58
4.0216	4021.7	3.01	1.37	15.57	1.57
4.023	4023.1	3.12	1.45	15.78	1.78
4.0246	4024.7	3.18	1.42	15.69	1.69
4.0264	4026.5	2.94	1.39	15.64	1.64
4.028	4028.1	3.22	1.76	16.56	2.56
4.0296	4029.7	3.05	1.71	16.42	2.42
4.031	4031.1	2.43	1.53	15.98	1.98
4.0326	4032.7	3.28	1.53	15.98	1.98
4.034	4034.1	3.27	1.80	16.65	2.65
4.0352	4035.3	3.22	1.28	15.34	1.34
4.0368	4036.9	2.55	1.30	15.41	1.41
4.038	4038.1	3.41	1.51	15.92	1.92
4.039	4039.1	3.23	1.44	15.76	1.76
4.0402	4040.3	2.89	1.01	14.66	0.66
4.0416	4041.7	3.34	1.04	14.74	0.74
4.0424	4042.5	3.37	1.01	14.68	0.68
4.0436	4043.7	3.35	0.91	14.43	0.43
4.045	4045.1	3.28	0.93	14.47	0.470000000000001
4.046	4046.1	3.21	0.96	14.55	0.550000000000001
4.047	4047.1	3.29	0.98	14.61	0.609999999999999
4.0484	4048.5	3.25	0.96	14.55	0.550000000000001
4.0496	4049.7	3.28	0.97	14.58	0.58
4.0506	4050.7	3.35	1.10	14.89	0.890000000000001
4.0516	4051.7	3.17	1.26	15.29	1.29
4.0528	4052.9	3.02	1.35	15.52	1.52
4.0536	4053.7	2.95	1.46	15.81	1.81
4.0544	4054.5	3.11	1.50	15.89	1.89
4.0554	4055.5	3.13	1.44	15.74	1.74
4.0568	4056.9	3.11	1.35	15.53	1.53
4.0582	4058.3	3.13	1.30	15.4	1.4
4.0596	4059.7	3.11	1.38	15.6	1.6
4.0612	4061.3	3.21	1.38	15.6	1.6
4.0626	4062.7	2.98	1.43	15.72	1.72
4.0642	4064.3	3.11	1.36	15.56	1.56
4.0654	4065.5	3.04	1.41	15.66	1.66
4.0668	4066.9	3.23	1.43	15.73	1.73
4.0684	4068.5	3.13	1.46	15.8	1.8
4.0698	4069.9	2.93	1.41	15.66	1.66
4.0714	4071.5	3.06	1.50	15.9	1.9
4.073	4073.1	3.14	1.47	15.82	1.82
4.0744	4074.5	3.05	1.49	15.88	1.88
4.0758	4075.9	3.19	1.57	16.06	2.06
4.0774	4077.5	2.89	1.52	15.96	1.96
4.0786	4078.7	2.92	1.48	15.85	1.85
4.0798	4079.9	3.22	1.58	16.1	2.1
4.0814	4081.5	3.13	1.39	15.64	1.64
4.0826	4082.7	3.00	1.31	15.42	1.42
4.0838	4083.9	3.24	1.42	15.7	1.7
4.085	4085.1	3.08	1.36	15.56	1.56
4.0862	4086.3	3.01	1.37	15.57	1.57
4.0872	4087.3	3.24	1.43	15.72	1.72
4.0884	4088.5	2.99	1.36	15.56	1.56
4.0896	4089.7	3.13	1.27	15.33	1.33
4.0906	4090.7	3.20	1.29	15.38	1.38
4.0922	4092.3	3.18	1.18	15.09	1.09
4.0938	4093.9	3.20	1.31	15.44	1.44
4.0952	4095.3	3.21	1.37	15.57	1.57
4.0968	4096.9	2.87	1.42	15.7	1.7
4.0982	4098.3	3.10	1.42	15.7	1.7
4.0992	4099.3	3.08	1.63	16.22	2.22
4.1002	4100.3	3.20	1.65	16.28	2.28
4.1014	4101.5	2.82	1.61	16.17	2.17
4.1026	4102.7	2.83	1.62	16.2	2.2
4.104	4104.1	3.18	1.87	16.82	2.82
4.1054	4105.5	3.06	1.68	16.36	2.36
4.1072	4107.3	2.73	1.65	16.28	2.28
4.1088	4108.9	3.17	1.67	16.32	2.32
4.11	4110.1	2.89	1.84	16.74	2.74
4.1112	4111.3	3.15	1.82	16.7	2.7
4.1124	4112.5	2.74	1.95	17.04	3.04
4.1134	4113.5	2.76	1.83	16.73	2.73
4.1144	4114.5	2.92	1.93	16.98	2.98
4.1154	4115.5	3.12	1.90	16.9	2.9
4.1168	4116.9	2.96	1.70	16.41	2.41
4.118	4118.1	2.80	1.65	16.26	2.26
4.1188	4118.9	3.13	1.66	16.3	2.3
4.1198	4119.9	3.03	1.63	16.22	2.22
4.121	4121.1	3.09	1.60	16.16	2.16
4.1218	4121.9	3.02	1.63	16.22	2.22
4.1226	4122.7	2.85	1.57	16.06	2.06
4.1238	4123.9	3.08	1.95	17.02	3.02
4.1246	4124.7	3.15	2.09	17.38	3.38
4.1256	4125.7	2.37	2.13	17.46	3.46
4.1264	4126.5	2.75	2.05	17.28	3.28
4.1276	4127.7	2.79	2.10	17.41	3.41
4.1284	4128.5	3.22	1.83	16.72	2.72
4.1294	4129.5	3.05	1.81	16.66	2.66
4.1302	4130.3	2.89	1.70	16.4	2.4
4.131	4131.1	2.79	1.77	16.58	2.58
4.1316	4131.7	2.99	2.01	17.18	3.18
4.1324	4132.5	3.08	2.02	17.2	3.2
4.1332	4133.3	2.60	1.94	17	3
4.134	4134.1	2.88	2.00	17.16	3.16
4.135	4135.1	2.94	1.94	17.01	3.01
4.1358	4135.9	2.87	1.77	16.58	2.58
4.1366	4136.7	3.19	1.77	16.57	2.57
4.1376	4137.7	2.92	1.68	16.34	2.34
4.1384	4138.5	2.89	1.66	16.3	2.3
4.1392	4139.3	3.11	1.74	16.5	2.5
4.1402	4140.3	2.90	1.75	16.52	2.52
4.1412	4141.3	3.04	1.61	16.17	2.17
4.142	4142.1	2.91	1.73	16.48	2.48
4.1428	4142.9	3.15	1.65	16.26	2.26
4.1438	4143.9	2.88	1.58	16.1	2.1
4.145	4145.1	3.06	1.59	16.13	2.13
4.146	4146.1	3.16	1.51	15.92	1.92
4.147	4147.1	2.89	1.36	15.54	1.54
4.148	4148.1	3.31	1.35	15.52	1.52
4.1492	4149.3	3.16	1.23	15.22	1.22
4.1502	4150.3	3.08	1.31	15.42	1.42
4.1514	4151.5	3.38	1.52	15.96	1.96
4.1524	4152.5	2.74	1.37	15.57	1.57
4.1538	4153.9	2.91	1.30	15.41	1.41
4.1548	4154.9	3.45	1.57	16.08	2.08
4.1556	4155.7	3.20	1.56	16.05	2.05
4.1566	4156.7	2.88	1.36	15.54	1.54
4.1578	4157.9	2.76	1.53	15.98	1.98
4.1588	4158.9	3.29	1.48	15.85	1.85
4.1598	4159.9	3.12	1.53	15.98	1.98
4.161	4161.1	3.30	1.31	15.44	1.44
4.162	4162.1	2.78	1.38	15.6	1.6
4.1634	4163.5	3.17	1.51	15.93	1.93
4.1646	4164.7	3.17	1.75	16.53	2.53
4.1658	4165.9	2.87	1.52	15.96	1.96
4.167	4167.1	2.85	1.60	16.14	2.14
4.1686	4168.7	3.21	1.73	16.48	2.48
4.1696	4169.7	3.03	1.61	16.18	2.18
4.1712	4171.3	2.92	1.53	15.98	1.98
4.1726	4172.7	3.09	1.61	16.17	2.17
4.1738	4173.9	3.00	1.74	16.5	2.5
4.1746	4174.7	3.07	1.69	16.37	2.37
4.1756	4175.7	2.78	1.78	16.61	2.61
4.1764	4176.5	3.02	1.79	16.62	2.62
4.1774	4177.5	2.91	1.90	16.9	2.9
4.1784	4178.5	2.99	1.74	16.49	2.49
4.1794	4179.5	2.86	1.84	16.76	2.76
4.1806	4180.7	3.09	1.85	16.77	2.77
4.1816	4181.7	2.82	1.79	16.64	2.64
4.1826	4182.7	2.90	1.79	16.64	2.64
4.184	4184.1	3.09	1.83	16.73	2.73
4.1854	4185.5	2.86	1.69	16.37	2.37
4.1866	4186.7	3.02	1.69	16.38	2.38
4.1876	4187.7	3.09	1.76	16.56	2.56
4.1886	4188.7	2.89	1.75	16.52	2.52
4.1896	4189.7	2.96	1.71	16.42	2.42
4.1906	4190.7	2.89	1.78	16.61	2.61
4.1914	4191.5	3.09	1.78	16.61	2.61
4.1928	4192.9	2.95	1.74	16.5	2.5
4.1942	4194.3	2.89	1.75	16.53	2.53
4.1954	4195.5	3.04	1.81	16.68	2.68
4.1968	4196.9	2.87	1.75	16.52	2.52
4.1982	4198.3	2.98	1.77	16.57	2.57
4.1994	4199.5	3.07	1.79	16.64	2.64
4.2008	4200.9	2.85	1.71	16.44	2.44
4.202	4202.1	2.99	1.66	16.29	2.29
4.2032	4203.3	3.02	1.76	16.56	2.56
4.2044	4204.5	3.09	2.00	17.16	3.16
4.2052	4205.3	2.87	2.11	17.42	3.42
4.2056	4205.7	2.40	2.08	17.34	3.34
4.2064	4206.5	2.79	2.11	17.44	3.44
4.2072	4207.3	3.08	2.01	17.17	3.17
4.2084	4208.5	3.02	1.67	16.32	2.32
4.2098	4209.9	3.07	1.61	16.18	2.18
4.2118	4211.9	3.04	1.52	15.96	1.96
4.2134	4213.5	2.89	1.48	15.85	1.85
4.2148	4214.9	3.25	1.52	15.96	1.96
4.2158	4215.9	3.10	1.64	16.25	2.25
4.2168	4216.9	2.99	1.63	16.22	2.22
4.2174	4217.5	2.82	1.86	16.8	2.8
4.2182	4218.3	2.91	1.87	16.82	2.82
4.219	4219.1	2.82	1.94	17.01	3.01
4.22	4220.1	3.08	1.94	17.01	3.01
4.2212	4221.3	2.85	1.99	17.12	3.12
4.2222	4222.3	2.82	1.86	16.81	2.81
4.2234	4223.5	2.83	1.99	17.12	3.12
4.2244	4224.5	3.05	1.97	17.06	3.06
4.2254	4225.5	2.85	1.93	16.98	2.98
4.2262	4226.3	2.89	1.74	16.5	2.5
4.227	4227.1	2.88	1.75	16.53	2.53
4.2276	4227.7	3.19	1.70	16.41	2.41
4.2288	4228.9	3.03	1.63	16.24	2.24
4.2298	4229.9	2.94	1.43	15.73	1.73
4.2306	4230.7	3.02	1.53	15.97	1.97
4.2316	4231.7	3.26	1.46	15.8	1.8
4.2328	4232.9	3.01	1.42	15.7	1.7
4.2336	4233.7	3.16	1.38	15.61	1.61
4.2346	4234.7	3.01	1.45	15.77	1.77
4.2356	4235.7	3.09	1.55	16.04	2.04
4.2366	4236.7	3.14	1.59	16.13	2.13
4.2376	4237.7	2.81	1.52	15.96	1.96
4.2386	4238.7	3.09	1.55	16.04	2.04
4.24	4240.1	3.14	1.57	16.06	2.06
4.2416	4241.7	3.03	1.55	16.02	2.02
4.243	4243.1	3.12	1.67	16.33	2.33
4.2444	4244.5	2.84	1.82	16.7	2.7
4.2458	4245.9	2.86	1.91	16.92	2.92
4.2466	4246.7	2.86	1.91	16.92	2.92
4.2472	4247.3	2.87	1.95	17.02	3.02
4.248	4248.1	3.12	1.95	17.04	3.04
4.2484	4248.5	2.76	1.84	16.74	2.74
4.249	4249.1	2.85	1.88	16.85	2.85
4.2496	4249.7	3.08	1.92	16.96	2.96
4.2504	4250.5	2.79	1.71	16.42	2.42
4.2514	4251.5	3.04	1.46	15.81	1.81
4.2528	4252.9	3.16	1.71	16.44	2.44
4.2538	4253.9	3.31	1.42	15.7	1.7
4.2548	4254.9	2.61	1.30	15.41	1.41
4.2558	4255.9	3.34	1.32	15.45	1.45
4.2566	4256.7	3.26	1.44	15.76	1.76
4.257	4257.1	3.13	1.45	15.77	1.77
4.2576	4257.7	3.08	1.60	16.16	2.16
4.2584	4258.5	2.60	1.57	16.08	2.08
4.2592	4259.3	3.05	1.55	16.04	2.04
4.2602	4260.3	3.32	1.57	16.06	2.06
4.2612	4261.3	3.16	1.27	15.32	1.32
4.2622	4262.3	3.06	1.13	14.97	0.970000000000001
4.2634	4263.5	3.16	1.26	15.3	1.3
4.2646	4264.7	3.31	1.35	15.52	1.52
4.2654	4265.5	3.07	1.30	15.4	1.4
4.2664	4266.5	3.00	1.31	15.42	1.42
4.2674	4267.5	3.15	1.50	15.9	1.9
4.2682	4268.3	3.14	1.62	16.2	2.2
4.269	4269.1	2.95	1.65	16.26	2.26
4.27	4270.1	2.85	1.68	16.36	2.36
4.271	4271.1	2.95	1.86	16.8	2.8
4.2718	4271.9	3.08	1.93	16.97	2.97
4.2726	4272.7	2.81	1.87	16.84	2.84
4.2736	4273.7	2.82	1.79	16.64	2.64
4.2748	4274.9	2.95	2.00	17.16	3.16
4.276	4276.1	3.10	2.06	17.3	3.3
4.2773	4277.4	2.69	2.17	17.58	3.58
4.2785	4278.6	2.70	2.07	17.33	3.33
4.2795	4279.6	2.61	2.03	17.24	3.24
4.2807	4280.8	3.14	1.83	16.72	2.72
4.2819	4282.0	3.17	1.61	16.17	2.17
4.283	4283.1	3.08	1.39	15.64	1.64
4.2846	4284.7	3.11	1.34	15.49	1.49
4.286	4286.1	3.01	1.49	15.86	1.86
4.2872	4287.3	3.25	1.58	16.09	2.09
4.2884	4288.5	2.89	1.65	16.28	2.28
4.2896	4289.7	2.91	1.64	16.25	2.25
4.2904	4290.5	2.97	1.89	16.88	2.88
4.2916	4291.7	3.03	1.83	16.72	2.72
4.2924	4292.5	2.78	1.77	16.58	2.58
4.2934	4293.5	3.01	1.81	16.66	2.66
4.2948	4294.9	3.01	1.86	16.8	2.8
4.2964	4296.5	2.91	1.83	16.73	2.73
4.2976	4297.7	2.93	1.86	16.81	2.81
4.2992	4299.3	2.83	1.94	17.01	3.01
4.3008	4300.9	2.95	1.90	16.89	2.89
4.3022	4302.3	2.86	1.95	17.04	3.04
4.3034	4303.5	3.00	1.79	16.64	2.64
4.3048	4304.9	2.82	1.69	16.37	2.37
4.306	4306.1	3.13	1.57	16.06	2.06
4.3074	4307.5	3.15	1.51	15.93	1.93
4.3088	4308.9	3.09	1.39	15.62	1.62
4.3106	4310.7	3.10	1.53	15.98	1.98
4.3124	4312.5	3.05	1.82	16.7	2.7
4.314	4314.1	2.86	1.93	16.97	2.97
4.315	4315.1	2.61	2.02	17.2	3.2
4.3164	4316.5	2.89	2.16	17.54	3.54
4.3172	4317.3	2.93	2.24	17.76	3.76
4.318	4318.1	2.79	2.10	17.4	3.4
4.319	4319.1	2.70	2.18	17.6	3.6
4.3202	4320.3	2.88	2.16	17.56	3.56
4.321	4321.1	2.74	2.27	17.82	3.82
4.322	4322.1	2.96	2.12	17.45	3.45
4.323	4323.1	2.59	2.16	17.56	3.56
4.324	4324.1	2.98	2.20	17.65	3.65
4.325	4325.1	2.80	2.06	17.29	3.29
4.326	4326.1	2.67	1.76	16.56	2.56
4.3268	4326.9	3.23	1.78	16.6	2.6
4.3276	4327.7	3.14	1.77	16.58	2.58
4.3286	4328.7	2.95	1.83	16.72	2.72
4.3296	4329.7	2.81	1.97	17.06	3.06
4.3304	4330.5	2.57	2.07	17.32	3.32
4.3314	4331.5	2.97	2.17	17.58	3.58
4.3326	4332.7	2.95	2.15	17.53	3.53
4.3336	4333.7	2.75	2.11	17.42	3.42
4.3344	4334.5	2.85	2.08	17.34	3.34
4.3352	4335.3	2.65	2.14	17.49	3.49
4.336	4336.1	3.03	2.05	17.26	3.26
4.3366	4336.7	2.84	2.19	17.62	3.62
4.3374	4337.5	2.92	2.01	17.18	3.18
4.3384	4338.5	2.58	2.00	17.16	3.16
4.34	4340.1	2.98	1.90	16.9	2.9
4.3416	4341.7	3.05	1.94	17	3
4.3432	4343.3	3.03	1.84	16.74	2.74
4.3446	4344.7	2.85	1.90	16.9	2.9
4.346	4346.1	2.77	1.82	16.7	2.7
4.3468	4346.9	2.86	1.78	16.61	2.61
4.3478	4347.9	3.20	1.70	16.41	2.41
4.3488	4348.9	3.10	1.57	16.06	2.06
4.3498	4349.9	3.00	1.44	15.74	1.74
4.3508	4350.9	3.03	1.59	16.12	2.12
4.3522	4352.3	3.10	1.68	16.34	2.34
4.3534	4353.5	2.92	1.48	15.85	1.85
4.3544	4354.5	2.93	1.29	15.37	1.37
4.3552	4355.3	3.37	1.30	15.41	1.41
4.3562	4356.3	3.39	1.27	15.32	1.32
4.3572	4357.3	3.07	1.23	15.24	1.24
4.358	4358.1	2.99	1.42	15.69	1.69
4.359	4359.1	2.99	1.59	16.13	2.13
4.3604	4360.5	3.03	1.78	16.61	2.61
4.3616	4361.7	3.06	1.76	16.54	2.54
4.3624	4362.5	2.71	1.75	16.52	2.52
4.3638	4363.9	3.04	1.81	16.68	2.68
4.3652	4365.3	3.01	1.90	16.89	2.89
4.3664	4366.5	2.91	1.83	16.72	2.72
4.368	4368.1	2.90	1.98	17.09	3.09
4.3696	4369.7	2.84	2.02	17.21	3.21
4.3706	4370.7	2.76	2.09	17.37	3.37
4.3718	4371.9	2.92	2.33	17.97	3.97
4.373	4373.1	2.79	2.15	17.52	3.52
4.3738	4373.9	2.45	2.19	17.62	3.62
4.3748	4374.9	3.18	2.07	17.33	3.33
4.3758	4375.9	2.68	1.96	17.05	3.05
4.377	4377.1	3.14	1.62	16.21	2.21
4.378	4378.1	3.00	1.72	16.45	2.45
4.3788	4378.9	3.08	1.68	16.34	2.34
4.38	4380.1	3.00	1.66	16.29	2.29
4.3814	4381.5	2.76	1.60	16.14	2.14
4.3822	4382.3	3.18	1.65	16.28	2.28
4.3832	4383.3	3.11	1.65	16.26	2.26
4.3848	4384.9	2.98	1.41	15.66	1.66
4.3858	4385.9	3.01	1.44	15.74	1.74
4.387	4387.1	3.21	1.49	15.86	1.86
4.3882	4388.3	3.12	1.49	15.86	1.86
4.3896	4389.7	3.02	1.42	15.69	1.69
4.3906	4390.7	2.98	1.59	16.13	2.13
4.3916	4391.7	3.14	1.73	16.48	2.48
4.3928	4392.9	2.88	1.72	16.45	2.45
4.394	4394.1	2.86	1.73	16.46	2.46
4.3948	4394.9	3.04	1.74	16.5	2.5
4.3958	4395.9	2.97	1.74	16.49	2.49
4.3968	4396.9	3.11	1.56	16.05	2.05
4.3976	4397.7	2.89	1.59	16.13	2.13
4.3984	4398.5	3.19	1.46	15.8	1.8
4.3992	4399.3	2.98	1.47	15.84	1.84
4.3998	4399.9	3.22	1.37	15.58	1.58
4.401	4401.1	3.08	1.63	16.22	2.22
4.4018	4401.9	3.08	1.63	16.22	2.22
4.4026	4402.7	2.71	1.69	16.37	2.37
4.4038	4403.9	2.98	1.82	16.7	2.7
4.4052	4405.3	3.11	1.78	16.61	2.61
4.4062	4406.3	2.83	1.69	16.37	2.37
4.4078	4407.9	3.15	1.66	16.29	2.29
4.4094	4409.5	2.89	1.67	16.33	2.33
4.4108	4410.9	3.04	1.61	16.18	2.18
4.4122	4412.3	3.08	1.85	16.78	2.78
4.4134	4413.5	2.94	1.79	16.64	2.64
4.4142	4414.3	2.70	1.84	16.76	2.76
4.4154	4415.5	3.00	1.91	16.93	2.93
4.4166	4416.7	2.95	1.83	16.73	2.73
4.4176	4417.7	2.95	1.70	16.41	2.41
4.4188	4418.9	3.09	1.56	16.05	2.05
4.4204	4420.5	2.94	1.59	16.12	2.12
4.4218	4421.9	3.27	1.45	15.78	1.78
4.423	4423.1	2.90	1.57	16.06	2.06
4.4246	4424.7	3.20	1.53	15.98	1.98
4.4266	4426.7	2.88	1.72	16.45	2.45
4.428	4428.1	3.00	1.86	16.8	2.8
4.4298	4429.9	2.92	2.00	17.16	3.16
4.4318	4431.9	2.64	2.01	17.17	3.17
4.4338	4433.9	2.93	2.07	17.33	3.33
4.4354	4435.5	2.87	2.10	17.41	3.41
4.4372	4437.3	2.88	1.99	17.12	3.12
4.4386	4438.7	2.86	2.14	17.49	3.49
4.4404	4440.5	2.86	2.15	17.52	3.52
4.4422	4442.3	2.65	2.02	17.2	3.2
4.4442	4444.3	2.85	1.87	16.84	2.84
4.4462	4446.3	3.12	1.80	16.65	2.65
4.4486	4448.7	3.13	1.87	16.82	2.82
4.4506	4450.7	3.00	1.82	16.69	2.69
4.4526	4452.7	2.52	1.98	17.1	3.1
4.4544	4454.5	2.95	2.28	17.85	3.85
4.4566	4456.7	2.81	2.24	17.76	3.76
4.4582	4458.3	2.57	1.92	16.94	2.94
4.4596	4459.7	3.07	1.95	17.04	3.04
4.4604	4460.5	3.13	1.84	16.74	2.74
4.4616	4461.7	2.88	1.71	16.44	2.44
4.4626	4462.7	3.03	1.44	15.76	1.76
4.4638	4463.9	2.80	1.61	16.17	2.17
4.4656	4465.7	3.58	1.61	16.18	2.18
4.4676	4467.7	2.82	1.81	16.66	2.66
4.469	4469.1	2.87	1.65	16.26	2.26
4.4704	4470.5	2.67	2.00	17.16	3.16
4.4718	4471.9	3.10	2.07	17.33	3.33
4.473	4473.1	2.91	1.94	17	3
4.4744	4474.5	2.69	1.86	16.8	2.8
4.4762	4476.3	3.12	1.94	17	3
4.4778	4477.9	2.82	1.98	17.09	3.09
4.4794	4479.5	2.95	1.77	16.58	2.58
4.4812	4481.3	2.84	2.03	17.22	3.22
4.483	4483.1	3.07	1.92	16.96	2.96
4.4848	4484.9	2.64	1.95	17.02	3.02
4.487	4487.1	3.02	1.81	16.68	2.68
4.489	4489.1	2.90	1.93	16.98	2.98
4.4904	4490.5	3.10	1.79	16.64	2.64
4.4918	4491.9	2.84	1.85	16.78	2.78
4.4932	4493.3	2.90	1.86	16.81	2.81
4.4942	4494.3	2.91	2.01	17.18	3.18
4.4954	4495.5	2.88	1.81	16.66	2.66
4.4966	4496.7	2.82	1.69	16.38	2.38
4.4978	4497.9	3.23	1.68	16.36	2.36
4.499	4499.1	3.11	1.48	15.85	1.85
4.5	4500.1	2.93	1.55	16.04	2.04
4.501	4501.1	3.26	1.60	16.16	2.16
4.5022	4502.3	2.68	1.69	16.38	2.38
4.5034	4503.5	3.14	1.68	16.36	2.36
4.5048	4504.9	2.94	1.97	17.08	3.08
4.5066	4506.7	2.95	1.71	16.44	2.44
4.5088	4508.9	2.72	1.83	16.73	2.73
4.5108	4510.9	3.16	1.66	16.3	2.3
4.5126	4512.7	2.92	1.57	16.08	2.08
4.5142	4514.3	3.26	1.26	15.29	1.29
4.5156	4515.7	3.12	1.39	15.62	1.62
4.5166	4516.7	3.31	1.27	15.32	1.32
4.518	4518.1	2.91	1.34	15.49	1.49
4.5196	4519.7	3.15	1.45	15.77	1.77
4.521	4521.1	3.13	1.81	16.66	2.66
4.5226	4522.7	2.91	1.83	16.72	2.72
4.5244	4524.5	2.64	1.91	16.93	2.93
4.5258	4525.9	2.87	1.90	16.89	2.89
4.527	4527.1	2.99	1.96	17.05	3.05
4.5282	4528.3	3.16	1.89	16.86	2.86
4.5292	4529.3	2.79	1.89	16.86	2.86
4.53	4530.1	2.78	1.90	16.9	2.9
4.5308	4530.9	2.87	1.94	17.01	3.01
4.5316	4531.7	2.96	1.87	16.82	2.82
4.5326	4532.7	3.08	1.79	16.62	2.62
4.5336	4533.7	2.93	1.68	16.34	2.34
4.5346	4534.7	2.93	1.69	16.38	2.38
4.536	4536.1	3.08	1.59	16.13	2.13
4.5372	4537.3	2.93	1.52	15.96	1.96
4.5382	4538.3	3.27	1.52	15.94	1.94
4.539	4539.1	3.06	1.50	15.89	1.89
4.5398	4539.9	2.94	1.40	15.65	1.65
4.5406	4540.7	3.12	1.61	16.17	2.17
4.5416	4541.7	3.11	1.54	16	2
4.5426	4542.7	2.88	1.52	15.94	1.94
4.544	4544.1	3.19	1.60	16.16	2.16
4.5454	4545.5	2.98	1.54	16	2
4.5466	4546.7	2.96	1.45	15.77	1.77
4.548	4548.1	3.23	1.57	16.08	2.08
4.5494	4549.5	3.05	1.49	15.88	1.88
4.5504	4550.5	2.96	1.33	15.48	1.48
