Age My	Age ky before 2015	δ18O	Tdo	Ts	T anomaly
0.1155	115.6	3.69	0.46	13.16	-0.84
0.1165	116.6	3.43	0.36	12.97	-1.03
0.1175	117.6	4.25	0.57	13.39	-0.609999999999999
0.1184	118.5	3.62	0.71	13.67	-0.33
0.1192	119.3	2.72	0.76	13.77	-0.23
0.1199	120.0	3.22	1.13	14.52	0.52
0.1205	120.6	3.25	1.63	15.51	1.51
0.1215	121.6	3.19	1.32	14.89	0.890000000000001
0.1224	122.5	2.69	1.41	15.07	1.07
0.1236	123.7	3.30	1.66	15.56	1.56
0.1245	124.6	3.05	1.01	14.27	0.27
0.1255	125.6	2.79	0.67	13.59	-0.41
0.1263	126.4	4.40	0.53	13.31	-0.69
0.1276	127.7	3.84	0.34	12.93	-1.07
0.1286	128.7	3.78	-0.20	11.84	-2.16
0.1298	129.9	3.69	-0.21	11.83	-2.17
0.131	131.1	4.64	-0.41	11.44	-2.56
0.1324	132.5	4.43	-0.76	10.73	-3.27
0.1334	133.5	4.50	-1.13	9.98	-4.02
0.1344	134.5	4.99	-1.17	9.91	-4.09
0.1354	135.5	4.96	-1.20	9.86	-4.14
0.1368	136.9	4.77	-1.31	9.63	-4.37
0.1378	137.9	4.52	-1.19	9.87	-4.13
0.1386	138.7	4.89	-1.14	9.97	-4.03
0.1396	139.7	4.58	-1.15	9.95	-4.05
0.1404	140.5	4.79	-1.16	9.93	-4.07
0.141	141.1	4.80	-1.06	10.13	-3.87
0.1418	141.9	4.55	-1.05	10.14	-3.86
0.1426	142.7	4.55	-1.04	10.17	-3.83
0.1433	143.4	4.56	-1.08	10.1	-3.9
0.1441	144.2	4.74	-1.00	10.25	-3.75
0.1449	145.0	4.93	-1.12	10	-4
0.1457	145.8	4.29	-1.16	9.93	-4.07
0.1465	146.6	4.97	-1.13	9.98	-4.02
0.1472	147.3	4.68	-1.10	10.04	-3.96
0.148	148.1	4.65	-1.33	9.59	-4.41
0.1486	148.7	4.83	-1.26	9.72	-4.28
0.1492	149.3	5.07	-1.15	9.94	-4.06
0.15	150.1	4.74	-1.13	9.98	-4.02
0.1508	150.9	4.30	-1.06	10.13	-3.87
0.1516	151.7	4.58	-0.97	10.3	-3.7
0.1526	152.7	4.58	-0.93	10.39	-3.61
0.1536	153.7	4.78	-0.86	10.53	-3.47
0.1544	154.5	4.59	-0.87	10.5	-3.5
0.1554	155.5	4.06	-0.85	10.55	-3.45
0.1563	156.4	4.63	-0.80	10.65	-3.35
0.1573	157.4	4.50	-0.81	10.64	-3.36
0.1581	158.2	4.60	-0.90	10.45	-3.55
0.1591	159.2	4.62	-0.94	10.37	-3.63
0.1599	160.0	4.38	-0.89	10.47	-3.53
0.161	161.1	4.77	-0.82	10.61	-3.39
0.1618	161.9	4.33	-0.76	10.72	-3.28
0.1629	163.0	4.35	-0.74	10.77	-3.23
0.1639	164.0	4.43	-0.57	11.11	-2.89
0.1651	165.2	4.30	-0.63	10.99	-3.01
0.166	166.1	4.19	-0.63	10.99	-3.01
0.1668	166.9	4.53	-0.58	11.08	-2.92
0.1677	167.8	4.36	-0.64	10.96	-3.04
0.1687	168.8	4.27	-0.62	11.01	-2.99
0.1695	169.6	4.50	-0.47	11.31	-2.69
0.1704	170.5	4.11	-0.49	11.27	-2.73
0.1712	171.3	4.03	-0.48	11.28	-2.72
0.172	172.1	4.42	-0.49	11.27	-2.73
0.173	173.1	4.25	-0.52	11.22	-2.78
0.174	174.1	4.52	-0.54	11.17	-2.83
0.1748	174.9	4.20	-0.50	11.25	-2.75
0.1757	175.8	4.11	-0.61	11.03	-2.97
0.1769	177.0	4.29	-0.55	11.14	-2.86
0.1778	177.9	4.61	-0.59	11.06	-2.94
0.1788	178.9	4.34	-0.60	11.05	-2.95
0.1802	180.3	4.33	-0.66	10.92	-3.08
0.1818	181.9	4.14	-0.56	11.12	-2.88
0.183	183.1	4.50	-0.59	11.06	-2.94
0.184	184.1	4.27	-0.48	11.29	-2.71
0.1853	185.4	4.44	-0.45	11.34	-2.66
0.1863	186.4	3.94	-0.32	11.61	-2.39
0.1873	187.4	4.06	-0.13	11.99	-2.01
0.1881	188.2	4.04	0.17	12.58	-1.42
0.1891	189.2	3.62	0.16	12.58	-1.42
0.19	190.1	3.43	0.23	12.71	-1.29
0.1912	191.3	3.95	0.32	12.89	-1.11
0.1922	192.3	3.84	0.54	13.33	-0.67
0.1932	193.3	3.73	0.54	13.33	-0.67
0.1941	194.2	2.87	0.68	13.6	-0.4
0.1949	195.0	3.43	0.72	13.68	-0.32
0.1955	195.6	3.48	0.73	13.7	-0.300000000000001
0.1965	196.6	3.71	0.57	13.4	-0.6
0.1974	197.5	3.69	0.47	13.18	-0.82
0.1983	198.4	3.39	0.49	13.23	-0.77
0.1991	199.2	3.80	0.49	13.23	-0.77
0.2001	200.2	3.40	0.64	13.52	-0.48
0.2008	200.9	3.70	0.57	13.38	-0.619999999999999
0.2017	201.8	3.20	0.57	13.39	-0.609999999999999
0.2027	202.8	3.63	0.58	13.41	-0.59
0.2037	203.8	3.78	0.62	13.49	-0.51
0.2049	205.0	3.38	0.52	13.28	-0.720000000000001
0.206	206.1	3.55	0.48	13.22	-0.779999999999999
0.2075	207.6	3.56	0.53	13.32	-0.68
0.2089	209.0	3.74	0.45	13.15	-0.85
0.2107	210.8	3.61	0.49	13.23	-0.77
0.2123	212.4	3.67	0.42	13.09	-0.91
0.2139	214.0	3.41	0.48	13.22	-0.779999999999999
0.215	215.1	3.79	0.50	13.25	-0.75
0.2164	216.5	3.53	0.53	13.31	-0.69
0.2176	217.7	3.56	0.48	13.21	-0.789999999999999
0.2184	218.5	3.56	0.43	13.11	-0.890000000000001
0.2192	219.3	3.58	0.30	12.85	-1.15
